,word,afinn_score,sentiment,bing_score,combined_score
3547,honour,2.0,2.0,0.0,1.5
6936,supporting,1.0,1.0,3.0,1.5
1322,cool,1.0,1.0,3.0,1.5
6678,stamina,2.0,2.0,0.0,1.5
1320,convivial,2.0,2.0,0.0,1.5
1568,decisive,1.0,1.0,3.0,1.5
5623,proudly,2.0,2.0,0.0,1.5
6919,sunshine,2.0,2.0,0.0,1.5
2476,entrusted,2.0,2.0,0.0,1.5
4320,justice,2.0,2.0,0.0,1.5
2701,faith,1.0,1.0,3.0,1.5
6934,supporter,1.0,1.0,3.0,1.5
1591,defenders,2.0,2.0,0.0,1.5
6951,survived,2.0,2.0,0.0,1.5
6488,smiled,2.0,2.0,0.0,1.5
6952,surviving,2.0,2.0,0.0,1.5
1263,consolable,2.0,2.0,0.0,1.5
1258,consents,2.0,2.0,0.0,1.5
1257,consent,2.0,2.0,0.0,1.5
71,accomplishes,2.0,2.0,0.0,1.5
1249,congrats,2.0,2.0,0.0,1.5
4321,justifiably,2.0,2.0,0.0,1.5
4322,justified,2.0,2.0,0.0,1.5
5314,perfects,2.0,2.0,0.0,1.5
2454,enterprising,1.0,1.0,3.0,1.5
4269,jaunty,2.0,2.0,0.0,1.5
37,absolving,2.0,2.0,0.0,1.5
36,absolves,2.0,2.0,0.0,1.5
1546,debonair,2.0,2.0,0.0,1.5
35,absolved,2.0,2.0,0.0,1.5
3709,immortal,2.0,2.0,0.0,1.5
4884,motivating,2.0,2.0,0.0,1.5
6773,strengthens,2.0,2.0,0.0,1.5
6772,strengthening,2.0,2.0,0.0,1.5
6771,strengthened,2.0,2.0,0.0,1.5
6770,strengthen,2.0,2.0,0.0,1.5
4296,jokes,2.0,2.0,0.0,1.5
11,abilities,2.0,2.0,0.0,1.5
12,ability,2.0,2.0,0.0,1.5
6769,strength,2.0,2.0,0.0,1.5
6752,stout,2.0,2.0,0.0,1.5
2512,esteemed,2.0,2.0,0.0,1.5
1498,daredevil,2.0,2.0,0.0,1.5
7932,yeees,2.0,2.0,0.0,1.5
6732,stimulates,1.0,1.0,3.0,1.5
